05693         C2006 02 28.41569 13 39 19.51 -01 00 34.7          19.4  cq5344704
05693         C2006 02 28.42731 13 39 18.96 -01 00 29.4          19.4  cq5344704
05693         C2006 02 28.43895 13 39 18.48 -01 00 22.3          19.6  cq5344704
05693         C2006 02 28.45057 13 39 17.94 -01 00 16.8          19.7  cq5344704
05693         C2006 03 23.27267 13 10 17.32 +03 32 54.2          18.6  cq7393704
05693         C2006 03 23.28392 13 10 16.07 +03 33 03.5          18.8  cq7393704
05693         C2006 03 23.29520 13 10 14.84 +03 33 13.7          18.8  cq7393704
05693         C2006 03 31.28585 12 54 56.06 +05 26 00.3          18.0 Rcq8367699
05693         C2006 03 31.31317 12 54 52.62 +05 26 23.1                cq8367699
05693         C2006 03 31.34054 12 54 49.27 +05 26 46.5                cq8367699
05693         C2006 03 31.36795 12 54 45.81 +05 27 08.3                cq8367699
05693         C2006 04 07.28244 12 40 29.31 +07 00 24.4          18.8 Vrq8367703
05693         C2006 04 07.29057 12 40 28.27 +07 00 31.0          18.4 Vrq8367703
05693         C2006 04 07.29866 12 40 27.22 +07 00 37.0          18.2 Vrq8367703
05693         C2006 04 18.27503 12 18 10.36 +09 03 58.2          18.5 Vrq9308703
05693         C2006 04 18.28315 12 18 09.46 +09 04 01.3          17.9 Vrq9308703
05693         C2006 04 18.29120 12 18 08.49 +09 04 05.6          18.7 Vrq9308703
05693         C2006 04 20.26307 12 14 24.82 +09 21 50.3          19.0  cq9308704
05693         C2006 04 20.27393 12 14 23.59 +09 21 56.9          18.8  cq9308704
05693         C2006 04 20.28478 12 14 22.38 +09 22 02.4          18.4  cq9308704
05693         C2006 04 23.17871 12 09 08.50 +09 45 17.7          18.3 Ror0115699
05693         C2006 04 23.20424 12 09 05.73 +09 45 28.9                or0115699
05693         C2006 04 23.22982 12 09 02.92 +09 45 40.0                or0115699
05693         C2006 04 23.25536 12 09 00.11 +09 45 51.6                or0115699
05693         C2006 04 26.23807 12 03 57.09 +10 06 12.0          18.5  cr0115704
05693         C2006 04 26.24826 12 03 56.07 +10 06 16.3          18.6  cr0115704
05693         C2006 04 26.25859 12 03 55.04 +10 06 20.7          18.9  cr0115704
05693         C2006 04 26.26897 12 03 53.92 +10 06 24.4          18.4  cr0115704
05693         C2006 05 02.25146 11 54 57.70 +10 36 10.3          19.3 Vrr1006703
05693         C2006 05 02.25633 11 54 57.27 +10 36 10.9          19.2 Vrr1006703
05693         C2006 05 02.26119 11 54 56.84 +10 36 12.5          19.6 Vrr1006703
05693         C2006 05 02.26607 11 54 56.41 +10 36 13.9          18.6 Vrr1006703
05693         C2006 05 03.23499 11 53 39.40 +10 39 42.5          18.9 Vrr1006703
